Word / POS / COUNT
the / None / 1403
fall / NOUN / 6
of / PREPOSITION / 684
rome / NOUN / 2
, / OTHER / 1221
discovery / NOUN / 2
precious / ADJECTIVE / 1
metals / NOUN / 1
and / CONJUNCTION / 511
were / VERB / 83
all / OTHER / 55
links / NOUN / 2
could / MODAL_AUXILIARY / 21
only / None / 32
be / VERB / 136
explained / VERB / 2
understood / VERB / 1
by / PREPOSITION / 83
comprehending / VERB / 1
that / PRONOUN / 30
preceded / VERB / 1
those / DETERMINER / 17
followed / VERB / 5
. / OTHER / 938
often / None / 3
historian / NOUN / 12
must / MODAL_AUXILIARY / 21
consider / VERB / 3
use / NOUN / 5
intuition / NOUN / 2
or / CONJUNCTION / 72
instinct / NOUN / 4
individuals / NOUN / 1
nations / NOUN / 3
which / DETERMINER / 80
he / PRONOUN / 200
is / VERB / 178
studying / VERB / 2
unconsciously / None / 2
governments / NOUN / 1
races / NOUN / 2
institutions / NOUN / 2
may / MODAL_AUXILIARY / 27
enter / VERB / 2
into / PREPOSITION / 47
some / DETERMINER / 34
undertaking / NOUN / 1
without / PREPOSITION / 17
fully / None / 1
realizing / VERB / 1
why / None / 7
they / PRONOUN / 80
are / VERB / 79
doing / VERB / 1
so / None / 15
react / VERB / 1
in / PREPOSITION / 383
obedience / NOUN / 1
to / PREPOSITION / 219
an / None / 79
urge / NOUN / 1
has / VERB / 50
itself / PRONOUN / 4
been / VERB / 43
impelled / VERB / 1
natural / ADJECTIVE / 5
law / NOUN / 12
a / None / 473
court / NOUN / 4
strike / VERB / 1
down / None / 18
on / PREPOSITION / 147
basis / NOUN / 1
intuitive / ADJECTIVE / 2
feeling / NOUN / 1
that / CONJUNCTION / 126
inimical / ADJECTIVE / 1
numerical / ADJECTIVE / 1
majority / NOUN / 2
nation / NOUN / 9
go / VERB / 10
war / NOUN / 8
trifling / VERB / 1
pretext / NOUN / 1
when / None / 55
reality / NOUN / 2
it / PRONOUN / 133
have / VERB / 88
guided / VERB / 2
unconscious / ADJECTIVE / 2
very / DETERMINER / 3
life / NOUN / 11
was / VERB / 179
at / PREPOSITION / 145
stake / NOUN / 2
encounters / VERB / 1
situation / NOUN / 5
can / MODAL_AUXILIARY / 30
perceive / VERB / 1
no / None / 51
visible / ADJECTIVE / 1
cause / NOUN / 3
effect / NOUN / 3
sequence / NOUN / 1
should / MODAL_AUXILIARY / 23
alert / ADJECTIVE / 2
as / CONJUNCTION / 156
possible / ADJECTIVE / 8
guides / NOUN / 2
adams / NOUN / 28
firmly / None / 4
contended / VERB / 3
never / None / 11
underrate / VERB / 1
impact / NOUN / 4
geographical / ADJECTIVE / 3
environment / NOUN / 3
history / NOUN / 22
here / None / 14
another / DETERMINER / 12
indispensable / ADJECTIVE / 2
tool / NOUN / 1
indeed / None / 3
concluded / VERB / 3
`` / OTHER / 134
conditions / NOUN / 3
exercised / VERB / 3
great / ADJECTIVE / 13
possibly / None / 2
preponderating / VERB / 1
influence / NOUN / 5
over / PREPOSITION / 28
man's / NOUN / 3
destiny / NOUN / 3
'' / OTHER / 133
failure / NOUN / 7
greece / NOUN / 1
to / OTHER / 299
reach / VERB / 4
imperial / ADJECTIVE / 1
periclean / ADJECTIVE / 1
athens / NOUN / 1
had / VERB / 81
seemed / VERB / 8
promise / VERB / 1
directly / None / 3
attributable / ADJECTIVE / 1
physical / ADJECTIVE / 3
conformation / NOUN / 1
areas / NOUN / 3
either / CONJUNCTION / 8
favorably / None / 1
adversely / None / 1
affected / VERB / 1
respectable / ADJECTIVE / 2
pursue / VERB / 4
study / NOUN / 3
thorough / ADJECTIVE / 1
knowledge / NOUN / 2
geography / NOUN / 1
brooks / NOUN / 7
consistent / ADJECTIVE / 1
admonishments / NOUN / 1
historians / NOUN / 4
about / PREPOSITION / 14
necessary / ADJECTIVE / 2
tools / NOUN / 10
insights / NOUN / 2
needed / VERB / 2
possess / VERB / 1
however / None / 14
practicing / VERB / 1
himself / PRONOUN / 10
left / VERB / 8
few / DETERMINER / 8
clues / NOUN / 1
amount / NOUN / 1
professional / ADJECTIVE / 8
scholarship / NOUN / 1
used / VERB / 4
writing / VERB / 2
fact / NOUN / 4
if / CONJUNCTION / 44
